19.21	0.00	217.65	217.65
19.20	0.00	217.62	217.62
19.19	0.00	217.58	217.58
19.18	0.00	217.54	217.54
19.17	0.00	217.50	217.50
19.16	0.00	217.47	217.47
19.15	0.00	217.43	217.43
19.14	0.00	217.39	217.39
19.13	0.00	217.35	217.35
19.12	0.00	217.31	217.31
19.11	0.00	217.28	217.28
19.10	0.00	217.24	217.24
19.09	0.00	217.20	217.20
19.08	0.00	217.16	217.16
19.07	0.00	217.13	217.13
19.06	0.00	217.09	217.09
19.05	0.00	217.05	217.05
19.04	0.00	217.01	217.01
19.03	0.00	216.97	216.97
19.02	0.00	216.94	216.94
19.01	0.00	216.90	216.90
19.00	0.00	216.86	216.86
18.99	0.00	216.82	216.82
18.98	0.00	216.78	216.78
18.97	0.00	216.75	216.75
18.96	0.00	216.71	216.71
18.95	0.00	216.67	216.67
18.94	0.00	216.63	216.63
18.93	0.00	216.59	216.59
18.92	0.00	216.55	216.55
18.91	0.00	216.52	216.52
18.90	0.00	216.48	216.48
18.89	0.00	216.44	216.44
18.88	0.00	216.40	216.40
18.87	0.00	216.36	216.36
18.86	0.00	216.32	216.32
18.85	0.00	216.28	216.28
18.84	0.00	216.24	216.24
18.83	0.00	216.21	216.21
18.82	0.00	216.17	216.17
18.81	0.00	216.13	216.13
18.80	0.00	216.09	216.09
18.79	0.00	216.05	216.05
18.78	0.00	216.01	216.01
18.77	0.00	215.97	215.97
18.76	0.00	215.93	215.93
18.75	0.00	215.89	215.89
18.74	0.00	215.86	215.86
18.73	0.00	215.82	215.82
18.72	0.00	215.78	215.78
18.71	0.00	215.74	215.74
18.70	0.00	215.70	215.70
18.69	0.00	215.66	215.66
18.68	0.00	215.62	215.62
18.67	0.00	215.58	215.58
18.66	0.00	215.54	215.54
18.65	0.00	215.50	215.50
18.64	0.00	215.46	215.46
18.63	0.00	215.42	215.42
18.62	0.00	215.38	215.38
18.61	0.00	215.34	215.34
18.60	0.00	215.30	215.30
18.59	0.00	215.26	215.26
18.58	0.00	215.22	215.22
18.57	0.00	215.18	215.18
18.56	0.00	215.14	215.14
18.55	0.00	215.10	215.10
18.54	0.00	215.06	215.06
18.53	0.00	215.02	215.02
18.52	0.00	214.98	214.98
18.51	0.00	214.94	214.94
18.50	0.00	214.90	214.90
18.49	0.00	214.86	214.86
18.48	0.00	214.82	214.82
18.47	0.00	214.78	214.78
18.46	0.00	214.74	214.74
18.45	0.00	214.70	214.70
18.44	0.00	214.66	214.66
18.43	0.00	214.62	214.62
18.42	0.00	214.58	214.58
18.41	0.00	214.54	214.54
18.40	0.00	214.50	214.50
18.39	0.00	214.46	214.46
18.38	0.00	214.42	214.42
18.37	0.00	214.38	214.38
18.36	0.00	214.34	214.34
18.35	0.00	214.30	214.30
18.34	0.00	214.26	214.26
18.33	0.00	214.22	214.22
18.32	0.00	214.18	214.18
18.31	0.00	214.14	214.14
18.30	0.00	214.09	214.09
18.29	0.00	214.05	214.05
18.28	0.00	214.01	214.01
18.27	0.00	213.97	213.97
18.26	0.00	213.93	213.93
